Liga,time,total_jogos_casa,total_jogos_fora,pct_marcou_M60_casa,pct_marcou_M60_fora,avg_min_M60_casa,avg_min_M60_fora,dp_min_M60_casa,dp_min_M60_fora,cv_min_M60_casa,cv_min_M60_fora,n_marcou_M60_casa,n_marcou_M60_fora,%Gl_Ca_61_70M,%Gl_Fo_61_70M,%Gl_Ca_71_80M,%Gl_Fo_71_80M,%Gl_Ca_81_90M,%Gl_Fo_81_90M
Turquia_1 Super Lig,Beşiktaş,14,13,57.1,46.2,80.4,77.2,12.5,10.4,15.5,13.5,8,6,14.3,7.7,21.4,23.1,28.6,15.4
Turquia_1 Super Lig,Eyüpspor,14,13,42.9,23.1,79.5,81.7,14.5,9.3,18.2,11.4,6,3,21.4,0.0,0.0,7.7,21.4,23.1
Turquia_1 Super Lig,Fatih Karagümrük,13,14,23.1,42.9,78.3,80.3,13.0,10.8,16.6,13.4,3,6,7.7,7.1,7.7,14.3,15.4,28.6
Turquia_1 Super Lig,Fenerbahçe,13,14,69.2,57.1,77.8,73.0,13.5,7.9,17.3,10.9,9,8,30.8,28.6,23.1,28.6,46.2,28.6
Turquia_1 Super Lig,Galatasaray,14,12,85.7,41.7,75.2,75.0,11.3,14.3,15.0,19.0,12,5,50.0,16.7,7.1,16.7,71.4,33.3
Turquia_1 Super Lig,Gaziantep FK,13,14,38.5,50.0,83.0,67.7,11.4,4.4,13.8,6.5,5,7,0.0,35.7,30.8,21.4,15.4,7.1
Turquia_1 Super Lig,Gençlerbirliği,13,14,30.8,21.4,68.0,81.3,6.1,5.9,8.9,7.2,4,3,23.1,0.0,23.1,14.3,0.0,14.3
Turquia_1 Super Lig,Göztepe,13,13,30.8,30.8,75.0,78.0,11.2,13.2,14.9,16.9,4,4,15.4,15.4,0.0,0.0,23.1,23.1
Turquia_1 Super Lig,Kasımpaşa,13,14,38.5,28.6,69.4,80.5,6.8,19.5,9.8,24.2,5,4,23.1,14.3,23.1,0.0,7.7,14.3
Turquia_1 Super Lig,Kayserispor,13,14,53.8,50.0,82.0,79.3,8.1,11.8,9.8,14.9,7,7,7.7,21.4,0.0,14.3,46.2,21.4
Turquia_1 Super Lig,Kocaelispor,14,13,28.6,23.1,79.5,73.7,14.0,16.8,17.6,22.8,4,3,7.1,15.4,7.1,15.4,28.6,7.7
Turquia_1 Super Lig,Konyaspor,14,13,50.0,46.2,77.7,83.3,11.1,3.7,14.3,4.5,7,6,14.3,0.0,14.3,15.4,28.6,38.5
Turquia_1 Super Lig,Rizespor,13,13,30.8,38.5,84.2,76.8,6.0,6.8,7.1,8.9,4,5,0.0,7.7,7.7,23.1,23.1,23.1
Turquia_1 Super Lig,Samsunspor,13,13,30.8,53.8,84.2,82.3,12.0,12.6,14.3,15.3,4,7,7.7,15.4,0.0,7.7,23.1,38.5
Turquia_1 Super Lig,Trabzonspor,13,14,30.8,57.1,78.0,77.5,14.3,8.9,18.3,11.5,4,8,15.4,14.3,0.0,28.6,23.1,35.7
Turquia_1 Super Lig,İstanbul Başakşehir,14,13,64.3,46.2,78.9,75.7,11.2,13.5,14.2,17.8,9,6,21.4,30.8,7.1,7.7,42.9,30.8
